# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 34K of event 'cpu/cycles/P'
# Event count (approx.): 23326754558
#
# Children      Self  Command  Shared Object         Symbol                    
# ........  ........  .......  ....................  ..........................
#
    95.11%    94.21%  msfw     msfw                  [.] evaluate_packet
            |          
             --94.88%--evaluate_packet

     4.34%     4.11%  msfw     msfw                  [.] parse_packet
            |          
             --4.11%--parse_packet
                       |          
                        --0.65%--memcpy (inlined)

     1.42%     0.95%  msfw     msfw                  [.] main
            |          
             --1.01%--main

     0.65%     0.00%  msfw     msfw                  [.] memcpy (inlined)
            |
            ---memcpy (inlined)

     0.52%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa00f0b
            |
            ---0xffffffffaaa00f0b

     0.49%     0.00%  msfw     [unknown]             [.] 0xffffffffac0833f7
     0.49%     0.00%  msfw     [unknown]             [.] 0xffffffffaad36646
     0.45%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7c94
     0.41%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6da7
     0.34%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee09c7
     0.30%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec5b54
     0.21%     0.00%  msfw     [unknown]             [.] 0xffffffffaadef01d
     0.06%     0.00%  msfw     [unknown]             [.] 0xffffffffaae026dc
     0.06%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee0a9c
     0.06%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa015f2
     0.05%     0.05%  msfw     [unknown]             [k] 0xffffffffaaa015f0
     0.05%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee0847
     0.04%     0.04%  msfw     [unknown]             [k] 0xffffffffaaa01188
     0.04%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa0118a
     0.04%     0.00%  msfw     [unknown]             [.] 0xffffffffaadef04b
     0.04%     0.00%  msfw     [unknown]             [.] 0xffffffffaaecceff
     0.04%     0.00%  msfw     [unknown]             [.] 0xffffffffaae02738
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffaae027dd
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffab0ac45b
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0266b
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa00e67
     0.02%     0.02%  msfw     [unknown]             [k] 0xffffffffaaa011b2
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa011b9
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0272c
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf3f4e
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaad98eae
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaad98a9e
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaad98705
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaaeca59f
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaae024c1
     0.02%     0.01%  msfw     [unknown]             [k] 0xffffffffaaa00ef0
     0.02%     0.01%  msfw     [unknown]             [.] 0xffffffffaae01ab6
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac083407
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6d8c
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae3dd70
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaacf7a50
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0205e
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac07fdd4
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaace7d93
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae73852
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6dd9
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec615f
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec5af2
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae24382
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac07fdd9
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6c32
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac0833fc
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaaa015d8
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa015db
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee0952
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac080e79
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7cbd
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee0163
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae220d0
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae220d3
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaad5191d
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae6d149
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae6ce78
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae026cd
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae026d4
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffac069442
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac06944b
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffabd844f6
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffabd84112
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0279a
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaadeefb7
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae0263a
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0263d
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac0843dd
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae0279d
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae027a4
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae21abc
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae21abf
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01ad0
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaedd25a
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec5b42
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaadf4f0a
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf4f0d
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffab0a847b
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaac966f3
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaca4505
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaaa01268
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec9b7b
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaad5191b
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffab0a8423
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffab0a8429
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaadf3f37
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf3f3e
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01abd
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae01ab2
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaaec7db2
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7db7
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaacf6620
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaacf6623
     0.01%     0.00%  msfw     [unknown]             [k] 0xffffffffac0656c8
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac08442a
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac08b417
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac08af10
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaaeccf27
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaeccf2e
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaadef06b
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0c5ad
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac0656c4
     0.01%     0.00%  msfw     [unknown]             [k] 0xffffffffaaa011df
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaad36449
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaad3644c
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7c9c
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae027e2
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaadef001
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaadef009
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaadf3f49
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae21ee0
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa00ef3
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae01b07
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01b0d
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaac946b3
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaac946bb
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae4c467
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac0945ee
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae4c46b
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffac07f84e
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac07f851
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae02b94
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae02b9b
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae26c35
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffac094da3
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffac094da7
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffc0c03f77
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffc0c03f7e
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa0123a
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaadeefef
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaade99ba
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaaec9360
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec9365
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaaecaaa0
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaecaaa6
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaaec7c41
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7c48
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffaae01ae5
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae01ae9
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee0836
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae23daa
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae406d9
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffaae23d87
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffc0464ea7
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffabd83f8d
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffabd83c82
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffabd8358d
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffabe62c59
     0.01%     0.01%  msfw     [unknown]             [k] 0xffffffffc045c255
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffc0465026
     0.01%     0.00%  msfw     [unknown]             [.] 0xffffffffc045c258
     0.00%     0.00%  msfw     ld-linux-x86-64.so.2  [.] _dl_start_user
     0.00%     0.00%  msfw     ld-linux-x86-64.so.2  [.] _dl_start
     0.00%     0.00%  msfw     ld-linux-x86-64.so.2  [.] _dl_start_final (inlined)
     0.00%     0.00%  msfw     ld-linux-x86-64.so.2  [.] _dl_sysdep_start
     0.00%     0.00%  msfw     ld-linux-x86-64.so.2  [.] dl_main
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaae0c0ad
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0c2db
     0.00%     0.00%  msfw     [unknown]             [k] 0xffffffffaadfa2a2
     0.00%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0bee6
