# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3M of event 'cpu/cycles/P'
# Event count (approx.): 2174006282803
#
# Children      Self  Command  Shared Object         Symbol                    
# ........  ........  .......  ....................  ..........................
#
    99.87%    99.17%  msfw     msfw                  [.] evaluate_packet
            |          
             --99.85%--evaluate_packet
                       |          
                        --0.52%--0xffffffffaaa00f0b

     0.52%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa00f0b
            |          
             --0.52%--0xffffffffaaa00f0b

     0.48%     0.00%  msfw     [unknown]             [.] 0xffffffffac0833f7
     0.47%     0.00%  msfw     [unknown]             [.] 0xffffffffaad36646
     0.43%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7c94
     0.39%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec6da7
     0.33%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee09c7
     0.28%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec5b54
     0.20%     0.00%  msfw     [unknown]             [.] 0xffffffffaadef01d
     0.11%     0.11%  msfw     msfw                  [.] parse_packet
     0.06%     0.00%  msfw     msfw                  [.] memcpy (inlined)
     0.05%     0.00%  msfw     [unknown]             [.] 0xffffffffaae026dc
     0.05%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee0a9c
     0.05%     0.00%  msfw     [unknown]             [.] 0xffffffffaaee0847
     0.04%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa0118a
     0.04%     0.00%  msfw     [unknown]             [.] 0xffffffffaaecceff
     0.04%     0.04%  msfw     [unknown]             [k] 0xffffffffaaa01188
     0.04%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa015f2
     0.04%     0.04%  msfw     [unknown]             [k] 0xffffffffaaa015f0
     0.04%     0.02%  msfw     msfw                  [.] main
     0.04%     0.00%  msfw     [unknown]             [.] 0xffffffffaadef04b
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffaad98eae
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffaae02738
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa011b9
     0.03%     0.03%  msfw     [unknown]             [k] 0xffffffffaaa011b2
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffaad98a9e
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffaae027dd
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffab0ac45b
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffaad98705
     0.03%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0266b
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaaeca59f
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaaa00ef0
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaadf3f4e
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaae0272c
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffac0833fc
     0.02%     0.00%  msfw     [unknown]             [.] 0xffffffffaaec7cbd
